No Decompression Limits and Group Designation Table,,,,,,,,,,,,
,,,,,,,,,,,,
,35,40,50,60,70,80,90,100,110,120,130,140
A,10,9,7,6,5,4,4,3s,3s,3s,3s,4s
B,19,16,18,11,9,8,7,6s,6s,5s,5s,4s
C,25,22,17,14,12,10,9,8s,7s,6s,6s,5s
D,29,25,19,16,13,11,10,9s,8s,7s,7s,6s
E,32,27,21,17,15,13,11,10s,9s,8s,8s,7s
F,36,31,24,19,16,14,12,11s,10s,9s,8s,8
G,40,34,26,21,18,15,13,12s,11s,10s,9s,
H,44,37,28,23,19,17,15,13s,12s,11s,10,
I,48,40,31,25,21,18,16,14s,13s,12s,,
J,52,44,33,27,22,19,17,15s,14s,12s,,
K,57,48,36,29,24,21,18,16s,14s,13,,
L,62,51,39,31,26,22,19,17s,15s,,,
M,67,55,41,33,27,23,21,18s,16,,,
N,73,60,44,35,29,25,22s,19s,,,,
O,79,64,47,37,31,26s,23s,20,,,,
P,85,69,50,39,33,28s,24s,,,,,
Q,92,74,53,42,35s,29s,25,,,,,
R,100,79,57,44,36s,30,,,,,,
S,108,85,60,49s,38s,,,,,,,
T,117,91,63,52s,40,,,,,,,
U,127,97,67s,54s,,,,,,,,
V,139,104,71s,55,,,,,,,,
W,152s,111s,75s,,,,,,,,,
X,168s,120s,80,,,,,,,,,
Y,188s,129s,,,,,,,,,,
Z,205,140,,,,,,,,,,